ville,historic,building,amenity,tourism,name,name:ar,lat,lon,surface_m2
Tunis,,,place_of_worship,,جامع سيدي عبد العزيز,جامع سيدي عبد العزيز,36.88761862985744,10.323828634396046,10133.9880559919
Tunis,,mosque,,,,,36.887755914574775,10.32359328853857,1449.8389096364092
Tunis,archaeological_site,,,,مسرح روماني,مسرح روماني,36.857664453016426,10.329405502683072,18412.665170303553
Tunis,,,place_of_worship,,Église Saint-Augustin-et-Saint-Fidèle,كنيسة القديس أوغسطينوس والقديس فيديل,36.816080087843254,10.301594381025668,2497.2539150232333
Tunis,archaeological_site,,,,بئر مسعودة,بئر مسعودة,36.85090286225509,10.32721365474414,15419.358650529488
Tunis,ruins,,,attraction,مسرح روماني,مسرح روماني,36.857863332514206,10.329547645985206,4254.901314841828
Tunis,,,,museum,المتحف المسيحي المبكر بقرطاج,المتحف المسيحي المبكر بقرطاج,36.84822012154502,10.324525721370245,32170.125060727445
Tunis,,,place_of_worship,,جامع الغفران,جامع الغفران,36.85154084000312,10.261757679311488,3123.5365889462846
Tunis,ruins,yes,,,Church of Oued Zarga,,36.67676865000001,9.41338625,46.16192591243405
Tunis,,yes,,museum,Musée du Tapis,,35.67253315000001,10.099174699999999,1183.7351062593252
Tunis,ruins,,,attraction,فسقيات الأغالبة,فسقيات الأغالبة,35.68739178608128,10.096539941872683,135926.45431425452
Tunis,ruins,,,,Théâtre,,35.23959280916657,9.122422269015885,2645.4586161200086
Tunis,ruins,ruins,,,Forum,,35.24043877914967,9.119544192513672,2763.422488161462
Tunis,ruins,,,,Arc Tétrarchie,,35.23563831073299,9.123544086839813,107.41706863113657
Tunis,,yes,place_of_worship,,جامع القصبة,جامع القصبة,36.79677466806868,10.16762432378332,2357.6528500863274
Tunis,yes,,school,,المعهد الصادقي,المعهد الصادقي,36.79847312952609,10.166305546530955,14121.5520517238
Tunis,yes,yes,place_of_worship,,جامع سيدي محرز,جامع سيدي محرز,36.804215400000004,10.168433099999998,3177.743669604095
Tunis,yes,mosque,place_of_worship,,جامع يوسف داي,جامع يوسف داي,36.79700426719132,10.16956876477757,1500.1481508567279
Tunis,monument,,,,Mausolée de la Zaouïa de Sidi Mahrez,,36.80469150790026,10.16887275237161,2258.967784862038
Tunis,yes,mosque,place_of_worship,,جامع صاحب الطابع,جامع صاحب الطابع,36.80767682607523,10.166638521008586,5493.041127993811
Tunis,,,place_of_worship,,الكنيس الكبير بتونس,الكنيس الكبير بتونس,36.81037967702368,10.180111112645381,807.8745225022784
Tunis,castle,yes,,,دار عثمان,دار عثمان,36.79494086098691,10.174279998706796,665.2110163874258
Tunis,yes,mosque,place_of_worship,,مسجد حمودة باشا,مسجد حمودة باشا,36.79824064626309,10.170578704320425,1510.7544301792504
Tunis,castle,yes,,,دار حمودة باشا,دار حمودة باشا,36.79862571173332,10.169703126421407,694.7660638011254
Tunis,yes,yes,place_of_worship,,جامع الصباغين (الجامع الجديد),جامع الصباغين,36.794729860798405,10.173745223280209,1503.3947190274055
Tunis,yes,yes,place_of_worship,,جامع القصر,جامع القصر,36.79516105374267,10.169836335395978,1068.5472664708914
Tunis,monument,yes,,,تربة الباي,تربة الباي,36.79368744848593,10.173125107039196,1484.241181445304
Tunis,,yes,,museum,Sousse Archaeological Museum,,35.82313753170645,10.635438795549996,665.6083094452144
Tunis,monument,,,,Théâtre Sidi Dhaher,,35.8216813223033,10.636336282273161,3402.4604571065966
Tunis,,mosque,,,,,35.50390637129534,11.0720140333978,4518.634007166821
Tunis,,yes,place_of_worship,,الجامع الكبير,الجامع الكبير,35.775619876425814,10.833549723809371,1176.1680895838554
Tunis,ruins,ruins,,,معبد كاليكتيس,معبد كاليكتيس,36.42280171870603,9.215726412143296,2106.9770258164435
Tunis,ruins,ruins,,,حمامات سيكلوبس,حمامات سيكلوبس,36.42173440905904,9.220226001644145,705.4919840744038
Tunis,ruins,ruins,,,قوس سبتيميس سفرس,قوس سبتيميس سفرس,36.42185416900292,9.221422471350596,57.939249828711695
Tunis,ruins,ruins,,,معبد دار الأشهب,معبد دار الأشهب,36.421821447401086,9.217808654163102,636.387916501666
Tunis,ruins,ruins,,,معبد بلوتون,معبد بلوتون,36.422092218972736,9.22071596670427,1001.4193006155523
Tunis,ruins,ruins,,,منتدى,منتدى,36.42269515556615,9.21784961530708,1328.8228612032754
Tunis,ruins,ruins,,,ضريح البونيقية,ضريح البونيقية,36.42016605,9.22018225,57.22277520706528
Tunis,ruins,ruins,,,معبد منيرفا,معبد منيرفا,36.425793961517435,9.216970652388161,219.52084755444653
Tunis,ruins,ruins,,,كبيتول,كبيتول,36.422840259060784,9.218165014413312,420.2531429768904
Tunis,ruins,ruins,,,كنيسة فيكتوريا,كنيسة فيكتوريا,36.42510433991653,9.221087766199256,218.8206558313244
Tunis,ruins,yes,,,صهاريج,صهاريج,36.4250038777412,9.21738286059512,1482.8260802487143
Tunis,ruins,ruins,,,Licinian baths,,36.423643317637584,9.219591958639269,1221.209966707942
Tunis,ruins,ruins,,,معبد زحل,معبد زحل,36.425553370233985,9.220483757896842,1380.0473158847747
Tunis,ruins,ruins,,,صهاريج,صهاريج,36.421272437496825,9.216939113388781,776.7181926934887
Tunis,ruins,ruins,,,صهاريج عين الحمام,صهاريج عين الحمام,36.423495200000005,9.216523650000001,930.5168339239603
Tunis,ruins,ruins,,,حمامات,حمامات,36.42077304143912,9.217182269800348,2692.6284273899037
Tunis,ruins,ruins,,,مسرح,مسرح,36.42370804564243,9.220261213417206,2944.546725966605
Tunis,ruins,,,,,,36.60618351953544,10.175579963061463,9922.526102086653
Tunis,ruins,,,,,,36.60244167381495,10.177457945346218,1645.3255742580893
Tunis,ruins,,,,,,36.60799838659025,10.171000742374082,1120.639459366187
Tunis,ruins,,,,,,36.60464890498383,10.17359730714087,1342.1578560950336
Tunis,ruins,,,,,,36.603701467411675,10.17420214576308,1090.2147175792732
Tunis,ruins,,,,,,36.607668916039195,10.172694204885111,1034.6000983596532
Tunis,ruins,,,,,,36.608849467230876,10.172037190132954,2126.625055665697
Tunis,ruins,,,,,,36.60818578665445,10.172122924368205,2224.9052942037433
